Number of functions: 1
Untitled1
Fourier Depth: 15
Smoothness: 500
Points: 42
0.4950 -0.4950
0.4950 -0.3450
0.5050 -0.2150
0.5050 -0.1050
0.5050 0.0000
0.4950 0.1500
0.5050 0.2850
0.5050 0.3900
0.5150 0.5100
0.3900 0.5200
0.2750 0.5250
0.1750 0.5150
0.0750 0.5050
0.0100 0.5200
-0.0850 0.5050
-0.1850 0.5000
-0.2750 0.5000
-0.3850 0.4950
-0.4700 0.5100
-0.4950 0.4100
-0.5050 0.3200
-0.5050 0.2300
-0.5050 0.1400
-0.5000 0.0550
-0.4950 -0.0200
-0.4950 -0.1000
-0.4950 -0.2050
-0.4950 -0.2850
-0.5050 -0.3500
-0.4950 -0.4250
-0.4950 -0.5000
-0.4400 -0.5050
-0.3600 -0.5050
-0.2750 -0.5050
-0.1900 -0.5000
-0.1100 -0.4850
-0.0050 -0.5000
0.0800 -0.5000
0.1550 -0.4950
0.2250 -0.4900
0.3050 -0.5000
0.4000 -0.4950
